idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
1,ма,Store A,open,Mobile keystroke for butter/oil,200,78.1,Энергетический напиток маракуйя «Volt» 500мл | Масло подсолнечное premium «Южное» 900мл | Мармелад жевательный mix «KidsBox» 150г | Масло сливочное безлактозное «Teos» 1кг | Масло подсолнечное premium «Helio» 10000мл,Напитки | Бакалея | Кондитерские изделия | Молочные продукты | Бакалея, |  |  |  | ,10,,
2,йогурт гр,Store A,open,Partial multi-word,200,13.2,Йогурт греческий черника «Mediterran» 140г | Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий черника «Mediterran» 140г | Йогурт греческий персик «Mediterran» 900г | Йогурт греческий персик «Teos» 900г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты, |  |  |  | ,10,,
3,bon pa,Store A,open,Foreign brand transliteration,200,13.1,Мармелад жевательный ягодный «Bon Paris» 75г | Шоколад премиальный молочный «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 150г | Мармелад жевательный sour «Bon Paris» 90г | Шоколад премиальный 70% «Bon Paris» 90г,Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия, |  |  |  | ,10,,
4,холс,Store B,open,Brand typed in Cyrillic,200,6.7,,,,0,,
5,крем для рук,Store B,open,Full phrase but should tolerate prefixes,200,7.4,Крем для рук антибактериальный «Atelier Skin» 50мл | Крем для рук коллаген «Atelier Skin» 50мл | Крем для рук коллаген «Herbal Line» 100мл | Крем для рук витамин Е «Nordic Care» 75мл | Крем для рук питательный «Care&Go» 100мл,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена, |  |  |  | ,10,,
6,масло раст 10л,Store C,open,B2B volume intent,200,12.9,Масло подсолнечное premium «Южное» 900мл | Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Helio» 500мл | Масло подсолнечное для HoReCa «ChefPro» 3000мл | Масло подсолнечное рафинированное «Helio» 900мл,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея, |  |  |  | ,10,,
7,кар тофель,Store D,open,Broken spacing,200,5.4,Шоколад премиальный с карамелью «Nordic Choco» 200г | Шоколад премиальный с карамелью «Nordic Choco» 80г,Кондитерские изделия | Кондитерские изделия, | ,2,,
8,xfq,Store E,open,Wrong keyboard layout for чай,200,9.7,Чай листовой чёрный «Samokat» 90г | Чай листовой матча «Ahmad» 75г | Чай листовой улун «Ahmad» 250г | Чай листовой жасмин «Greenfield» 250г | Чай листовой жасмин «Greenfield» 75г,Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай, |  |  |  | ,10,,
9,adapter usb c,Store E,open,English technical query,200,9.3,Адаптер USB-C 35W «TechNode» 1шт | Адаптер USB-C 65W «ChargeLab» 1шт | Адаптер USB-C gan «VoltEdge» 1шт | Адаптер USB-C gan «TechNode» 1шт | Адаптер USB-C travel «TechNode» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника, |  |  |  | ,10,,
10,pr,Store F,open,Wine prefix (prosecco/premium),200,6.6,Зубная паста fresh mint «ProDent» 75мл | Зубная паста sensitive «ProDent» 75мл | Филе грудки индейки в маринаде «ProteinPro» 700г | Филе грудки индейки для стейков «ProteinPro» 700г | Филе грудки индейки охлажденное «ProteinPro» 5кг,Косметика и гигиена | Косметика и гигиена | Мясо и птица | Мясо и птица | Мясо и птица, |  |  |  | ,10,,
11,riesling mos,Store F,open,Region-specific wine,200,8.0,Вино игристое riesling mosel «Rieslinghaus» 750мл | Вино игристое riesling mosel «Rieslinghaus» 1500мл | Вино игристое riesling mosel «Mosel Craft» 1500мл | Вино игристое riesling mosel «Mosel Craft» 750мл | Вино игристое riesling mosel «Premium Cellar» 750мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь, |  |  |  | ,10,,
12,памперсы 3,Store D,open,Size constraint,200,12.1,Подгузники детские premium «Huggsy» 26шт | Подгузники детские для чувствительной кожи «Huggsy» 60шт | Подгузники детские premium «EcoBaby» 40шт | Подгузники детские для чувствительной кожи «Huggsy» 40шт | Подгузники детские для чувствительной кожи «BabySoft» 96шт,Детские товары | Детские товары | Детские товары | Детские товары | Детские товары, |  |  |  | ,10,,
13,масло сл,Store A,open,Two-letter stop,200,15.0,Масло сливочное безлактозное «Teos» 1кг | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное фермерское «Teos» 225г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты, |  |  |  | ,10,,
14,филе инд,Store A,open,Protein intent,200,33.1,Филе грудки индейки HoReCa «FarmLine» 5кг | Филе грудки индейки в маринаде «ProteinPro» 700г | Филе грудки индейки охлажденное «ProteinPro» 5кг | Филе грудки индейки HoReCa «FarmLine» 700г | Филе грудки индейки HoReCa «ProteinPro» 700г,Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица, |  |  |  | ,10,,
15,teos,Store A,open,Brand prefix,200,14.5,Масло сливочное безлактозное «Teos» 1кг | Йогурт греческий персик «Teos» 900г | Йогурт греческий черника «Teos» 140г | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты, |  |  |  | ,10,,
16,греч не,Store C,open,Cyrillic split,200,10.2,Масло подсолнечное нерафинированное «Golden Field» 500мл | Минеральная вода негазированная «Arctic Light» 500мл | Минеральная вода негазированная «Aqua Pura» 1000мл | Минеральная вода негазированная «Samokat Springs» 500мл | Минеральная вода негазированная «Arctic Light» 1000мл,Бакалея | Напитки | Напитки | Напитки | Напитки, |  |  |  | ,10,,
17,prosecco ro,Store F,open,Latin multi-word,200,9.6,Вино игристое rose «Prosecco Alto» 1500мл | Вино игристое prosecco «Prosecco Alto» 1500мл | Вино игристое prosecco «Prosecco Alto» 750мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь, |  |  |  | ,10,,
18,джин то,Store F,open,Cocktail ingredient,200,14.7,Лапша быстрого приготовления том ям «NoodleLab» 100г | Лапша быстрого приготовления том ям «StreetWok» 75г | Лапша быстрого приготовления том ям «NoodleLab» 100г | Лапша быстрого приготовления том ям «StreetWok» 75г | Лапша быстрого приготовления том ям «AsiaBox» 100г,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея, |  |  |  | ,10,,
19,хозяйст мыло,Store D,open,Household goods,200,23.5,Батарейки AA alkaline «VoltEdge» 4шт | Пакеты для мусора 60л «StrongHold» 30шт | Полотенца бумажные эко «MaxiRoll» 2шт | Полотенца бумажные mega roll «MaxiRoll» 6шт | Полотенца бумажные mega roll «MaxiRoll» 6шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары, |  |  |  | ,10,,
20,power bank 20,Store E,open,Numeric suffix,200,17.7,Power Bank 20000mAh «PowerStack» 1шт | Power Bank 20000mAh «HyperCell» 1шт | Power Bank 20000mAh «VoltEdge» 1шт | Power Bank slim «PowerStack» 1шт | Power Bank slim «HyperCell» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника, |  |  |  | ,10,,
